   X,    Y,    Latitude,   Longitude, TMP_201906111700
  42,    4,   49.265528,  -95.403948,      -59.710
  43,    4,   49.265768,  -95.251971,      -59.710
  44,    4,   49.265897,  -95.099993,      -59.710
   1,    5,   49.259090, -101.637172,      -60.970
   2,    5,   49.263888, -101.485380,      -60.790
   3,    5,   49.268575, -101.333572,      -60.790
   4,    5,   49.273150, -101.181747,      -60.790
   5,    5,   49.277615, -101.029908,      -60.610
   6,    5,   49.281968, -100.878053,      -60.610
   7,    5,   49.286211, -100.726183,      -60.610
   8,    5,   49.290342, -100.574299,      -60.610
   9,    5,   49.294362, -100.422401,      -60.430
  10,    5,   49.298271, -100.270489,      -60.430
  11,    5,   49.302068, -100.118564,      -60.430
  12,    5,   49.305755,  -99.966626,      -60.430
  13,    5,   49.309330,  -99.814676,      -60.430
  14,    5,   49.312795,  -99.662713,      -60.430
  15,    5,   49.316148,  -99.510739,      -60.430
  16,    5,   49.319390,  -99.358754,      -60.430
  17,    5,   49.322521,  -99.206757,      -60.430
  18,    5,   49.325540,  -99.054750,      -60.430
  19,    5,   49.328449,  -98.902733,      -60.430
  20,    5,   49.331246,  -98.750706,      -60.610
  21,    5,   49.333932,  -98.598670,      -60.610
  22,    5,   49.336507,  -98.446624,      -60.610
  23,    5,   49.338971,  -98.294570,      -60.430
  24,    5,   49.341323,  -98.142507,      -60.430
  25,    5,   49.343565,  -97.990437,      -60.430
  26,    5,   49.345695,  -97.838359,      -60.430
  27,    5,   49.347714,  -97.686274,      -60.430
  28,    5,   49.349622,  -97.534182,      -60.430
  29,    5,   49.351419,  -97.382084,      -60.430
  30,    5,   49.353104,  -97.229980,      -60.250
  31,    5,   49.354678,  -97.077870,      -60.250
  32,    5,   49.356142,  -96.925755,      -60.250
  33,    5,   49.357493,  -96.773635,      -60.250
  34,    5,   49.358734,  -96.621511,      -60.070
  35,    5,   49.359864,  -96.469382,      -60.070
  36,    5,   49.360882,  -96.317250,      -60.070
  37,    5,   49.361789,  -96.165115,      -60.070
  38,    5,   49.362585,  -96.012976,      -59.890
  39,    5,   49.363270,  -95.860835,      -59.890
  40,    5,   49.363843,  -95.708692,      -59.890
  41,    5,   49.364306,  -95.556547,      -59.710
  42,    5,   49.364657,  -95.404401,      -59.710
  43,    5,   49.364897,  -95.252254,      -59.710
  44,    5,   49.365026,  -95.100106,      -59.710
   1,    6,   49.358106, -101.644617,      -60.790
