   X,    Y,    Latitude,   Longitude, HGT_201906170000
  30,    5,   49.353104,  -97.229980,      220.647
  31,    5,   49.354678,  -97.077870,      273.397
  32,    5,   49.356142,  -96.925755,      304.647
  33,    5,   49.357493,  -96.773635,      320.647
  34,    5,   49.358734,  -96.621511,      310.647
  35,    5,   49.359864,  -96.469382,      352.522
  36,    5,   49.360882,  -96.317250,      491.772
  37,    5,   49.361789,  -96.165115,      604.397
  38,    5,   49.362585,  -96.012976,      616.022
  39,    5,   49.363270,  -95.860835,      671.397
  40,    5,   49.363843,  -95.708692,      731.272
  41,    5,   49.364306,  -95.556547,      793.647
  42,    5,   49.364657,  -95.404401,      854.897
  43,    5,   49.364897,  -95.252254,      895.272
  44,    5,   49.365026,  -95.100106,      704.147
   1,    6,   49.358106, -101.644617,      615.147
   2,    6,   49.362905, -101.492655,      570.522
   3,    6,   49.367593, -101.340677,      538.647
   4,    6,   49.372169, -101.188683,      585.897
   5,    6,   49.376635, -101.036673,      601.772
   6,    6,   49.380990, -100.884648,      436.522
   7,    6,   49.385233, -100.732609,      388.897
   8,    6,   49.389365, -100.580555,      349.522
   9,    6,   49.393386, -100.428486,      333.397
  10,    6,   49.397296, -100.276405,      343.772
  11,    6,   49.401094, -100.124309,      360.897
  12,    6,   49.404782,  -99.972201,      405.397
  13,    6,   49.408358,  -99.820081,      394.647
  14,    6,   49.411823,  -99.667948,      346.397
  15,    6,   49.415177,  -99.515803,      292.522
  16,    6,   49.418420,  -99.363648,      315.397
  17,    6,   49.421551,  -99.211481,      356.897
  18,    6,   49.424571,  -99.059303,      395.897
  19,    6,   49.427481,  -98.907116,      412.772
  20,    6,   49.430279,  -98.754918,      378.772
  21,    6,   49.432965,  -98.602711,      395.272
  22,    6,   49.435541,  -98.450495,      430.272
  23,    6,   49.438005,  -98.298270,      448.147
  24,    6,   49.440358,  -98.146037,      445.522
  25,    6,   49.442600,  -97.993796,      502.272
  26,    6,   49.444731,  -97.841547,      326.647
  27,    6,   49.446750,  -97.689291,      182.647
  28,    6,   49.448659,  -97.537029,      134.022
  29,    6,   49.450456,  -97.384760,      142.522
  30,    6,   49.452142,  -97.232485,      147.022
  31,    6,   49.453716,  -97.080204,      193.772
  32,    6,   49.455180,  -96.927918,      253.897
  33,    6,   49.456532,  -96.775628,      329.772
