   X,    Y,    Latitude,   Longitude, HPBL_201906300000
  35,    5,   49.359864,  -96.469382,     1124.640
  36,    5,   49.360882,  -96.317250,     1121.280
  37,    5,   49.361789,  -96.165115,     1121.280
  38,    5,   49.362585,  -96.012976,     1119.680
  39,    5,   49.363270,  -95.860835,     1119.360
  40,    5,   49.363843,  -95.708692,     1005.440
  41,    5,   49.364306,  -95.556547,     1005.440
  42,    5,   49.364657,  -95.404401,      903.040
  43,    5,   49.364897,  -95.252254,      678.400
  44,    5,   49.365026,  -95.100106,      447.840
   1,    6,   49.358106, -101.644617,     2211.680
   2,    6,   49.362905, -101.492655,     2220.640
   3,    6,   49.367593, -101.340677,     1976.960
   4,    6,   49.372169, -101.188683,     1976.960
   5,    6,   49.376635, -101.036673,     1385.600
   6,    6,   49.380990, -100.884648,     1386.240
   7,    6,   49.385233, -100.732609,     1232.960
   8,    6,   49.389365, -100.580555,      988.960
   9,    6,   49.393386, -100.428486,      988.960
  10,    6,   49.397296, -100.276405,      887.360
  11,    6,   49.401094, -100.124309,      730.880
  12,    6,   49.404782,  -99.972201,      341.120
  13,    6,   49.408358,  -99.820081,      341.120
  14,    6,   49.411823,  -99.667948,      249.600
  15,    6,   49.415177,  -99.515803,      205.600
  16,    6,   49.418420,  -99.363648,      249.600
  17,    6,   49.421551,  -99.211481,      250.240
  18,    6,   49.424571,  -99.059303,      250.240
  19,    6,   49.427481,  -98.907116,      205.760
  20,    6,   49.430279,  -98.754918,      295.360
  21,    6,   49.432965,  -98.602711,      343.200
  22,    6,   49.435541,  -98.450495,      165.920
  23,    6,   49.438005,  -98.298270,      165.920
  24,    6,   49.440358,  -98.146037,      167.840
  25,    6,   49.442600,  -97.993796,     1013.760
  26,    6,   49.444731,  -97.841547,      126.080
  27,    6,   49.446750,  -97.689291,      126.080
  28,    6,   49.448659,  -97.537029,      126.400
  29,    6,   49.450456,  -97.384760,      568.000
  30,    6,   49.452142,  -97.232485,     1269.120
  31,    6,   49.453716,  -97.080204,     1267.680
  32,    6,   49.455180,  -96.927918,     1267.680
  33,    6,   49.456532,  -96.775628,     1130.880
  34,    6,   49.457773,  -96.623332,     1263.680
  35,    6,   49.458903,  -96.471033,     1415.360
  36,    6,   49.459921,  -96.318730,     1415.360
  37,    6,   49.460829,  -96.166424,     1121.920
  38,    6,   49.461625,  -96.014114,     1120.960
  39,    6,   49.462310,  -95.861802,     1120.800
  40,    6,   49.462883,  -95.709488,     1005.440
  41,    6,   49.463346,  -95.557173,     1006.080
  42,    6,   49.463697,  -95.404855,      820.320
  43,    6,   49.463937,  -95.252537,      745.440
  44,    6,   49.464066,  -95.100218,      348.320
   1,    7,   49.457033, -101.652079,     1954.400
   2,    7,   49.461833, -101.499947,     1964.000
   3,    7,   49.466522, -101.347799,     1974.080
   4,    7,   49.471100, -101.195634,     1974.080
   5,    7,   49.475567, -101.043454,     1981.600
   6,    7,   49.479922, -100.891259,     1235.360
   7,    7,   49.484166, -100.739049,     1103.360
   8,    7,   49.488300, -100.586824,     1103.360
   9,    7,   49.492321, -100.434586,     1233.280
  10,    7,   49.496232, -100.282333,      987.840
  11,    7,   49.500032, -100.130068,     1097.120
  12,    7,   49.503720,  -99.977789,      667.200
