   X,    Y,    Latitude,   Longitude, VRATE_201906240000
  22,    9,   49.732109,  -98.462159,     6900.000
  23,    9,   49.734575,  -98.309420,     6500.000
  24,    9,   49.736929,  -98.156673,     6300.000
  25,    9,   49.739173,  -98.003917,     6300.000
  26,    9,   49.741305,  -97.851154,     6300.000
  27,    9,   49.743326,  -97.698384,     6000.000
  28,    9,   49.745235,  -97.545607,     6200.000
  29,    9,   49.747034,  -97.392823,     6000.000
  30,    9,   49.748721,  -97.240034,     6000.000
  31,    9,   49.750296,  -97.087238,     6400.000
  32,    9,   49.751761,  -96.934438,     6900.000
  33,    9,   49.753114,  -96.781632,     7800.000
  34,    9,   49.754356,  -96.628822,     7800.000
  35,    9,   49.755486,  -96.476008,     8000.000
  36,    9,   49.756506,  -96.323190,     8200.000
  37,    9,   49.757414,  -96.170368,     8300.000
  38,    9,   49.758210,  -96.017544,     8800.000
  39,    9,   49.758896,  -95.864717,     8800.000
  40,    9,   49.759470,  -95.711888,     8700.000
  41,    9,   49.759932,  -95.559057,     8300.000
  42,    9,   49.760284,  -95.406224,     8500.000
  43,    9,   49.760524,  -95.253391,     8700.000
  44,    9,   49.760653,  -95.100557,     8700.000
   1,   10,   49.753282, -101.674565,    11000.000
   2,   10,   49.758085, -101.521921,    11100.000
   3,   10,   49.762777, -101.369259,    11100.000
   4,   10,   49.767358, -101.216582,    10800.000
   5,   10,   49.771827, -101.063889,    10600.000
   6,   10,   49.776186, -100.911180,     9500.000
   7,   10,   49.780433, -100.758457,     9500.000
   8,   10,   49.784569, -100.605719,     9200.000
   9,   10,   49.788593, -100.452966,     9300.000
  10,   10,   49.792507, -100.300200,     8600.000
  11,   10,   49.796309, -100.147420,     8700.000
  12,   10,   49.799999,  -99.994627,     8700.000
  13,   10,   49.803579,  -99.841822,     8700.000
  14,   10,   49.807047,  -99.689004,     8600.000
  15,   10,   49.810404,  -99.536174,     8500.000
  16,   10,   49.813649,  -99.383333,     8500.000
  17,   10,   49.816784,  -99.230481,     8300.000
  18,   10,   49.819807,  -99.077617,     8000.000
  19,   10,   49.822718,  -98.924744,     7600.000
  20,   10,   49.825519,  -98.771860,     7400.000
  21,   10,   49.828208,  -98.618967,     7400.000
  22,   10,   49.830786,  -98.466065,     7000.000
  23,   10,   49.833252,  -98.313154,     6600.000
  24,   10,   49.835607,  -98.160234,     6400.000
  25,   10,   49.837851,  -98.007306,     6400.000
  26,   10,   49.839984,  -97.854371,     6300.000
  27,   10,   49.842005,  -97.701429,     6400.000
  28,   10,   49.843915,  -97.548479,     6600.000
  29,   10,   49.845714,  -97.395523,     6600.000
  30,   10,   49.847401,  -97.242561,     6600.000
  31,   10,   49.848977,  -97.089593,     7700.000
  32,   10,   49.850442,  -96.936620,     7800.000
