   X,    Y,    Latitude,   Longitude, UGRD_201908060000
   3,    6,   49.367593, -101.340677,        4.820
   4,    6,   49.372169, -101.188683,        4.820
   5,    6,   49.376635, -101.036673,        4.883
   6,    6,   49.380990, -100.884648,        4.945
   7,    6,   49.385233, -100.732609,        5.258
   8,    6,   49.389365, -100.580555,        5.383
   9,    6,   49.393386, -100.428486,        5.383
  10,    6,   49.397296, -100.276405,        5.320
  11,    6,   49.401094, -100.124309,        5.133
  12,    6,   49.404782,  -99.972201,        5.070
  13,    6,   49.408358,  -99.820081,        4.883
  14,    6,   49.411823,  -99.667948,        4.570
  15,    6,   49.415177,  -99.515803,        4.195
  16,    6,   49.418420,  -99.363648,        4.383
  17,    6,   49.421551,  -99.211481,        4.508
  18,    6,   49.424571,  -99.059303,        4.320
  19,    6,   49.427481,  -98.907116,        3.820
  20,    6,   49.430279,  -98.754918,        3.133
  21,    6,   49.432965,  -98.602711,        2.508
  22,    6,   49.435541,  -98.450495,        2.070
  23,    6,   49.438005,  -98.298270,        1.883
  24,    6,   49.440358,  -98.146037,        2.070
  25,    6,   49.442600,  -97.993796,        2.383
  26,    6,   49.444731,  -97.841547,        2.633
  27,    6,   49.446750,  -97.689291,        2.883
  28,    6,   49.448659,  -97.537029,        3.320
  29,    6,   49.450456,  -97.384760,        4.133
  30,    6,   49.452142,  -97.232485,        4.945
  31,    6,   49.453716,  -97.080204,        5.508
  32,    6,   49.455180,  -96.927918,        5.820
  33,    6,   49.456532,  -96.775628,        6.070
  34,    6,   49.457773,  -96.623332,        6.070
  35,    6,   49.458903,  -96.471033,        6.070
  36,    6,   49.459921,  -96.318730,        6.070
  37,    6,   49.460829,  -96.166424,        6.008
  38,    6,   49.461625,  -96.014114,        6.070
  39,    6,   49.462310,  -95.861802,        6.320
  40,    6,   49.462883,  -95.709488,        6.445
  41,    6,   49.463346,  -95.557173,        6.570
  42,    6,   49.463697,  -95.404855,        6.695
  43,    6,   49.463937,  -95.252537,        6.633
