47	1839	Grey	133	PORTAGE	21	3	PORTAGE	 	 	RM	Midland	RM of Grey	969667718.4	137833.758	566767	5506740
48	1840	North Norfolk	156	PORTAGE	21	3	PORTAGE	 	 	M	Agassiz	Municipality of North Norfolk	1163335679	139352.7511	512061	5530960
49	2145	Oakland-Wawanesa	157	BRANDON	11	6	BRANDON	 	 	M	Spruce Woods	Municipality of Oakland-Wawanesa	580471974.5	98396.75899	438716	5496840
50	2150	Prairie Lakes	192	SOURIS	9	6	BRANDON	23 WEST PLANNING DISTRICT	946	RM	Spruce Woods	RM of Prairie Lakes	1097388683	179112.8136	454296	5472480
51	2151	West Interlake	185	DAUPHIN	6	8	INTERLAKE (SELKIRK)	WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.)	906	M	Interlake	RM of West Interlake	1785603160	401041.0653	545095	5648200
52	1829	North Cypress-Langford	155	BRANDON	11	6	BRANDON	CYPRESS PLANNING DISTRICT	901	M	Agassiz/Spruce Woods	Municipality of North Cypress-Langford	1771294982	213396.9952	471456	5538330
53	2146	Prairie View	403	MINNEDOSA	7	6	BRANDON	MID-WEST PLANNING DISTRICT	931	M	Arthur-Virden/Riding Mountain	Prairie View Municipality	1741531174	180689.706	358805	5577080
54	2147	Oakview	107	MINNEDOSA	7	6	BRANDON	MID-WEST PLANNING DISTRICT	931	RM	Riding Mountain	RM of Oakview	1161172506	140702.4062	413125	5561170
55	90	Fisher	605	SELKIRK	22	8	INTERLAKE (SELKIRK)	FISHER ARMSTRONG PLANNING DISTRICT	940	RM	Interlake	RM of Fisher	1497540573	200272.9597	594031	5658580
56	96	Dauphin	411	DAUPHIN	6	7	DAUPHIN	 	 	City	Dauphin	City of Dauphin	12284208.01	22946.18909	426709	5666850
57	2152	Brenda-Waskada	109	SOURIS	9	6	BRANDON	SOUTHWEST PLANNING DISTRICT	936	M	Arthur-Virden	Municipality of Brenda-Waskada	778217212.7	121975.0538	375923	5448590
58	2153	Two Borders	122	SOURIS	9	6	BRANDON	SOUTHWEST PLANNING DISTRICT	936	M	Arthur-Virden	Municipality of Two Borders	2328428565	208587.5149	346344	5459200
59	106	Armstrong	602	SELKIRK	22	8	INTERLAKE (SELKIRK)	FISHER ARMSTRONG PLANNING DISTRICT	940	RM	Lakeside	RM of Armstrong	1926994104	206992.8456	609717	5615230
60	108	Gimli	129	SELKIRK	22	8	INTERLAKE (SELKIRK)	EASTERN INTERLAKE PLANNING DISTRICT	911	RM	Gimli	RM of Gimli	319104646.9	117270.0647	638065	5613940
61	110	Victoria Beach	198	SELKIRK	22	1	BEAUSEJOUR	 	 	RM	Lac du Bonnet	RM of Victoria Beach	20890583.53	39004.7842	673584	5622880
62	1830	McCreary	147	MINNEDOSA	7	7	DAUPHIN	 	 	M	Agassiz	Municipality of McCreary	530436113.9	108425.1275	469602	5622760
63	1831	Hamiota	331	MINNEDOSA	7	6	BRANDON	MID-WEST PLANNING DISTRICT	931	M	Arthur-Virden	Hamiota Municipality	580025663.2	101743.6826	383623	5561740
64	102	Arborg	300	SELKIRK	22	8	INTERLAKE (SELKIRK)	EASTERN INTERLAKE PLANNING DISTRICT	911	Town	Interlake	Town of Arborg	2187253.238	6522.816461	625380	5641290
65	2478	Cartwright-Roblin	167	MORDEN	8	4	MORDEN	 	 	M	Spruce Woods	Cartwright-Roblin Municipality	737965236.8	121292.3528	478843	5440020
66	112	Coldwell	115	PORTAGE	21	8	INTERLAKE (SELKIRK)	WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.)	906	RM	Interlake	RM of Coldwell	909616804	235545.0868	573164	5611770
67	117	Rosedale	170	MINNEDOSA	7	6	BRANDON	NEEPAWA AND AREA PLANNING DISTRICT	907	RM	Agassiz	RM of Rosedale	867749283.8	132020.2833	461583	5587720
68	2479	Wallace-Woodworth	199	SOURIS	9	6	BRANDON	TRANS CANADA WEST PLANNING DISTRICT	921	RM	Arthur-Virden	RM of Wallace-Woodworth	2025103083	218071.0058	359493	5532860
69	121	Powerview-Pine Falls	347	SELKIRK	22	1	BEAUSEJOUR	WINNIPEG RIVER PLANNING DISTRICT	916	Town	Lac du Bonnet	Town of Powerview-Pine Falls	5988124.902	11112.826	697584	5605200
70	114	Alexander	600	SELKIRK	22	1	BEAUSEJOUR	WINNIPEG RIVER PLANNING DISTRICT	916	RM	Lac du Bonnet	RM of Alexander	1627317933	307102.925	708532	5592650
71	125	St. Laurent	178	PORTAGE	21	8	INTERLAKE (SELKIRK)	WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.)	906	RM	Interlake	RM of St. Laurent	539538431	135688.8875	585666	5587140
72	129	Rockwood	168	SELKIRK	22	8	INTERLAKE (SELKIRK)	SOUTH INTERLAKE PLANNING DISTRICT	908	RM	Lakeside	RM of Rockwood	1202807328	166204.9351	622024	5571820
73	123	St. Clements	176	SELKIRK	22	8	INTERLAKE (SELKIRK)	RED RIVER PLANNING DISTRICT	902	RM	Selkirk	RM of St. Clements	835742697.8	288299.8354	664364	5570910
74	1832	Sifton	184	SOURIS	9	6	BRANDON	DENNIS COUNTY PLANNING DISTRICT	932	RM	Arthur-Virden	RM of Sifton	872008322.7	118112.9044	379657	5502760
75	1833	Deloraine-Winchester	205	SOURIS	9	6	BRANDON	 	 	M	Arthur-Virden	Municipality of Deloraine-Winchester	776996627	121552.7029	395575	5448200
76	2148	Minitonas-Bowsman	149	SWAN RIVER	24	7	DAUPHIN	SWAN VALLEY PLANNING DISTRICT	937	M	Swan River	Municipality of Minitonas-Bowsman	1204303640	141877.2252	364626	5778850
77	2149	Ethelbert	126	DAUPHIN	6	7	DAUPHIN	MOUNTAINVIEW PLANNING DISTRICT	938	M	Swan River	Municipality of Ethelbert	1139097139	139733.3413	396468	5710550
78	1834	Minto-Odanah	159	MINNEDOSA	7	6	BRANDON	TANNER'S CROSSING PLANNING DISTRICT	930	RM	Riding Mountain	RM of Minto-Odanah	758398643	136902.8697	442534	5565660
79	1835	Norfolk Treherne	188	PORTAGE	21	3	PORTAGE	SOUTH CENTRAL PLANNING DISTRICT	935	M	Midland	Municipality of Norfolk Treherne	745045438.7	113433.4529	529543	5501900
80	1836	Boissevain-Morton	153	SOURIS	9	6	BRANDON	 	 	M	Arthur-Virden	Municipality of Boissevain-Morton	1167839536	140917.9381	420148	5447760
81	1837	Glenboro-South Cypress	187	BRANDON	11	6	BRANDON	CYPRESS PLANNING DISTRICT	901	M	Spruce Woods	Municipality of Glenboro-South Cypress	1111341691	137714.0404	472584	5500940
82	147	Brokenhead	110	SELKIRK	22	1	BEAUSEJOUR	BROKENHEAD RIVER PLANNING DISTRICT	903	RM	Lac du Bonnet	RM of Brokenhead	752416261.9	131824.6493	677584	5555950
83	167	Springfield	189	STEINBACH	23	1	BEAUSEJOUR	 	 	RM	La Verendrye/St. Paul	RM of Springfield	1080193901	173452.8074	665352	5530640
