FID,OBJECTID,MUNI_NAME,MUNI_NO,ASMT_DISTR,ASMT_DIST_,PLAN_RGN_O,PLAN_RGN_1,PLAN_DIST_,PLAN_DIST1,MUNI_STATU,PROV_ELECT,LEGAL_NAME,SHAPE_AREA,SHAPE_LEN,x,y
62,1830,McCreary,147.000000000000000,MINNEDOSA,07,7,DAUPHIN, , ,M,Agassiz,Municipality of McCreary,530436113.921999990940094,108425.127491000006557,469602.0000000,5622760.0000000
63,1831,Hamiota,331.000000000000000,MINNEDOSA,07,6,BRANDON,MID-WEST PLANNING DISTRICT,931,M,Arthur-Virden,Hamiota Municipality,580025663.233000040054321,101743.682641999999760,383623.0000000,5561740.0000000
64,102,Arborg,300.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),EASTERN INTERLAKE PLANNING DISTRICT,911,Town,Interlake,Town of Arborg,2187253.237860000226647,6522.816461319999689,625380.0000000,5641290.0000000
65,2478,Cartwright-Roblin,167.000000000000000,MORDEN,08,4,MORDEN, , ,M,Spruce Woods,Cartwright-Roblin Municipality,737965236.759999990463257,121292.352754000006826,478843.0000000,5440020.0000000
66,112,Coldwell,115.000000000000000,PORTAGE,21,8,INTERLAKE (SELKIRK),WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.),906,RM,Interlake,RM of Coldwell,909616804.021000027656555,235545.086837000009837,573164.0000000,5611770.0000000
67,117,Rosedale,170.000000000000000,MINNEDOSA,07,6,BRANDON,NEEPAWA AND AREA PLANNING DISTRICT,907,RM,Agassiz,RM of Rosedale,867749283.815999984741211,132020.283290999999736,461583.0000000,5587720.0000000
68,2479,Wallace-Woodworth,199.000000000000000,SOURIS,09,6,BRANDON,TRANS CANADA WEST PLANNING DISTRICT,921,RM,Arthur-Virden,RM of Wallace-Woodworth,2025103083.339999914169312,218071.005772000004072,359493.0000000,5532860.0000000
69,121,Powerview-Pine Falls,347.000000000000000,SELKIRK,22,1,BEAUSEJOUR,WINNIPEG RIVER PLANNING DISTRICT,916,Town,Lac du Bonnet,Town of Powerview-Pine Falls,5988124.901960000395775,11112.825997399999324,697584.0000000,5605200.0000000
70,114,Alexander,600.000000000000000,SELKIRK,22,1,BEAUSEJOUR,WINNIPEG RIVER PLANNING DISTRICT,916,RM,Lac du Bonnet,RM of Alexander,1627317932.509999990463257,307102.925000999995973,708532.0000000,5592650.0000000
71,125,St. Laurent,178.000000000000000,PORTAGE,21,8,INTERLAKE (SELKIRK),WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.),906,RM,Interlake,RM of St. Laurent,539538430.986999988555908,135688.887469000008423,585666.0000000,5587140.0000000
72,129,Rockwood,168.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),SOUTH INTERLAKE PLANNING DISTRICT,908,RM,Lakeside,RM of Rockwood,1202807327.789999961853027,166204.935138000000734,622024.0000000,5571820.0000000
73,123,St. Clements,176.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,Selkirk,RM of St. Clements,835742697.764000058174133,288299.835424999997485,664364.0000000,5570910.0000000
74,1832,Sifton,184.000000000000000,SOURIS,09,6,BRANDON,DENNIS COUNTY PLANNING DISTRICT,932,RM,Arthur-Virden,RM of Sifton,872008322.700000047683716,118112.904410999995889,379657.0000000,5502760.0000000
75,1833,Deloraine-Winchester,205.000000000000000,SOURIS,09,6,BRANDON, , ,M,Arthur-Virden,Municipality of Deloraine-Winchester,776996626.970000028610229,121552.702917999995407,395575.0000000,5448200.0000000
76,2148,Minitonas-Bowsman,149.000000000000000,SWAN RIVER,24,7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,M,Swan River,Municipality of Minitonas-Bowsman,1204303639.710000038146973,141877.225245999987237,364626.0000000,5778850.0000000
77,2149,Ethelbert,126.000000000000000,DAUPHIN,06,7,DAUPHIN,MOUNTAINVIEW PLANNING DISTRICT,938,M,Swan River,Municipality of Ethelbert,1139097138.789999961853027,139733.341283999994630,396468.0000000,5710550.0000000
78,1834,Minto-Odanah,159.000000000000000,MINNEDOSA,07,6,BRANDON,TANNER'S CROSSING PLANNING DISTRICT,930,RM,Riding Mountain,RM of Minto-Odanah,758398643.039000034332275,136902.869692000007490,442534.0000000,5565660.0000000
79,1835,Norfolk Treherne,188.000000000000000,PORTAGE,21,3,PORTAGE,SOUTH CENTRAL PLANNING DISTRICT,935,M,Midland,Municipality of Norfolk Treherne,745045438.694000005722046,113433.452934999993886,529543.0000000,5501900.0000000
80,1836,Boissevain-Morton,153.000000000000000,SOURIS,09,6,BRANDON, , ,M,Arthur-Virden,Municipality of Boissevain-Morton,1167839536.220000028610229,140917.938091999996686,420148.0000000,5447760.0000000
81,1837,Glenboro-South Cypress,187.000000000000000,BRANDON,11,6,BRANDON,CYPRESS PLANNING DISTRICT,901,M,Spruce Woods,Municipality of Glenboro-South Cypress,1111341690.529999971389771,137714.040387999993982,472584.0000000,5500940.0000000
82,147,Brokenhead,110.000000000000000,SELKIRK,22,1,BEAUSEJOUR,BROKENHEAD RIVER PLANNING DISTRICT,903,RM,Lac du Bonnet,RM of Brokenhead,752416261.944000005722046,131824.649330999993253,677584.0000000,5555950.0000000
83,167,Springfield,189.000000000000000,STEINBACH,23,1,BEAUSEJOUR, , ,RM,La Verendrye/St. Paul,RM of Springfield,1080193901.109999895095825,173452.807442999997875,665352.0000000,5530640.0000000
84,168,West St. Paul,201.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,St. Paul,RM of West St. Paul,88691084.506799995899200,42016.173231000000669,634994.0000000,5542260.0000000
85,191,Ritchot,165.000000000000000,STEINBACH,23,3,PORTAGE,MACDONALD-RITCHOT PLANNING DISTRICT,919,RM,Dawson Trail/Morris,RM of Ritchot,338191560.930999994277954,111035.712958000003709,637698.0000000,5501880.0000000
86,170,Rosser,172.000000000000000,PORTAGE,21,8,INTERLAKE (SELKIRK),SOUTH INTERLAKE PLANNING DISTRICT,908,RM,Lakeside,RM of Rosser,442253000.109000027179718,115095.037993999998434,613823.0000000,5540440.0000000
87,2467,Hillsburg-Roblin-Shell River,182.000000000000000,DAUPHIN,06,7,DAUPHIN, , ,M,Dauphin/Swan River,Municipality of Roblin,1789124130.660000085830688,193464.285988999996334,340387.0000000,5689420.0000000
88,196,Victoria,197.000000000000000,MORDEN,08,3,PORTAGE,SOUTH CENTRAL PLANNING DISTRICT,935,RM,Midland,RM of Victoria,710513905.335000038146973,111790.471869999993942,504979.0000000,5500960.0000000
89,172,Elton,124.000000000000000,BRANDON,11,6,BRANDON,BRANDON AND AREA PLANNING DISTRICT,910,RM,Spruce Woods,RM of Elton,577321760.327000021934509,108566.900393999996595,437903.0000000,5536270.0000000
90,198,Ste. Anne,175.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,Dawson Trail,RM of Ste. Anne,480418390.930999994277954,108029.166152999998303,677388.0000000,5500170.0000000
91,2468,Grassland,111.000000000000000,SOURIS,09,6,BRANDON,DENNIS COUNTY PLANNING DISTRICT,932,M,Arthur-Virden,Municipality of Grassland,1357817066.990000009536743,177066.043559999990975,400251.0000000,5477750.0000000
92,2469,Ste. Rose,359.000000000000000,DAUPHIN,06,7,DAUPHIN, , ,M,Dauphin,Municipality of Ste. Rose,634438219.680999994277954,116754.266849999999977,468411.0000000,5649920.0000000
93,2470,Ellice-Archie,101.000000000000000,MINNEDOSA,07,6,BRANDON,MID-WEST PLANNING DISTRICT,931,RM,Arthur-Virden/Riding Mountain,RM of Ellice-Archie,1159908125.769999980926514,161348.681498999998439,334235.0000000,5577790.0000000
94,2471,Westlake-Gladstone,200.000000000000000,PORTAGE,21,3,PORTAGE, , ,M,Agassiz,Municipality of Westlake-Gladstone,1933854637.400000095367432,204175.090227000007872,511248.0000000,5570410.0000000
95,2472,Grandview,132.000000000000000,DAUPHIN,06,7,DAUPHIN,MOUNTAINVIEW PLANNING DISTRICT,938,M,Dauphin,Grandview Municipality,1206115348.930000066757202,144722.131342000007862,374834.0000000,5668560.0000000
96,148,Portage La Prairie,163.000000000000000,PORTAGE,21,3,PORTAGE,PORTAGE LA PRAIRIE PLANNING DISTRICT,944,RM,Portage la Prairie,RM of Portage La Prairie,2087041810.930000066757202,247465.342768000002252,555090.0000000,5538850.0000000
