7,DAUPHIN,TRI-ROADS PLANNING DISTRICT,922,M,Riding Mountain,RM of Russell-Binscarth,581602045.3,98441.23215,332781,5622130
6,BRANDON,DENNIS COUNTY PLANNING DISTRICT,932,RM,Arthur-Virden,RM of Sifton,872008322.7,118112.9044,379657,5502760
6,BRANDON, , ,M,Spruce Woods,RM of Souris-Glenwood,581579869.3,98497.86416,409131,5497260
1,BEAUSEJOUR, , ,RM,La Verendrye/St. Paul,RM of Springfield,1080193901,173452.8074,665352,5530640
8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,Gimli,RM of St. Andrews,810368994.6,154922.3535,642711,5571020
8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,Selkirk,RM of St. Clements,835742697.8,288299.8354,664364,5570910
3,PORTAGE,WHITE HORSE PLAINS PLANNING DISTRICT,945,RM,Morris,RM of St. Franois Xavier,208344267.1,156855.6864,595745,5537970
8,INTERLAKE (SELKIRK),WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.),906,RM,Interlake,RM of St. Laurent,539538431,135688.8875,585666,5587140
4,MORDEN,MSTW PLANNING DISTRICT,904,RM,Emerson/Morden-Winkler,RM of Stanley,835307119.8,164062.778,567875,5442440
2,STEINBACH, , ,RM,Dawson Trail,RM of Ste. Anne,480418390.9,108029.1662,677388,5500170
7,DAUPHIN, , ,M,Dauphin,RM of Ste. Rose,634438219.7,116754.2668,468411,5649920
2,STEINBACH, , ,RM,La Verendrye,RM of Stuartburn,1167081738,139079.452,681284,5445270
7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,M,Swan River,RM of Swan Valley West,1731612184,220281.9425,334881,5767180
2,STEINBACH, , ,RM,Dawson Trail,RM of Tache,582517633.2,128137.6364,663964,5511130
4,MORDEN,MSTW PLANNING DISTRICT,904,RM,Midland,RM of Thompson,533680351.1,98531.78474,554558,5468270
6,BRANDON,SOUTHWEST PLANNING DISTRICT,936,M,Arthur-Virden,RM of Two Borders,2328428565,208587.5149,346344,5459200
3,PORTAGE,SOUTH CENTRAL PLANNING DISTRICT,935,RM,Midland,RM of Victoria,710513905.3,111790.4719,504979,5500960
1,BEAUSEJOUR, , ,RM,Lac du Bonnet,RM of Victoria Beach,20890583.53,39004.7842,673584,5622880
6,BRANDON,TRANS CANADA WEST PLANNING DISTRICT,921,RM,Arthur-Virden,RM of Wallace-Woodworth,2025103083,218071.0058,359493,5532860
8,INTERLAKE (SELKIRK),WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.),906,M,Interlake,RM of West Interlake,1785603160,401041.0653,545095,5648200
8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,St. Paul,RM of West St. Paul,88691084.51,42016.17323,634994,5542260
3,PORTAGE, , ,M,Agassiz,RM of Westlake-Gladstone,1933854637,204175.0902,511248,5570410
6,BRANDON, , ,RM,Spruce Woods,RM of Whitehead,581598604.8,98442.48985,409473,5516930
1,BEAUSEJOUR,WHITEMOUTH REYNOLDS PLANNING DISTRICT,928,RM,La Verendrye,RM of Whitemouth,682197992.5,115696.7747,718296,5538090
 ,WINNIPEG CITY, , ,City,Various Urban,City of Winnipeg,475215880.2,123248.1326,632429,5525100
8,INTERLAKE (SELKIRK), , ,RM,Lakeside,RM of Woodlands,1241186661,160876.5059,591598,5563040
6,BRANDON, , ,RM,Riding Mountain,RM of Yellowhead,1161091338,137713.9446,392973,5591040
