   X,    Y,    Latitude,   Longitude, UGRD_201907130000
  21,    7,   49.531910,  -98.606761,        1.510
  22,    7,   49.534486,  -98.454374,        1.490
  23,    7,   49.536951,  -98.301978,        1.530
  24,    7,   49.539304,  -98.149574,        1.660
  25,    7,   49.541547,  -97.997162,        1.810
  26,    7,   49.543678,  -97.844742,        1.940
  27,    7,   49.545698,  -97.692315,        2.020
  28,    7,   49.547607,  -97.539882,        2.050
  29,    7,   49.549404,  -97.387442,        2.010
  30,    7,   49.551091,  -97.234995,        1.900
  31,    7,   49.552666,  -97.082544,        1.750
  32,    7,   49.554129,  -96.930086,        1.590
  33,    7,   49.555482,  -96.777625,        1.480
  34,    7,   49.556723,  -96.625158,        1.540
  35,    7,   49.557853,  -96.472687,        1.620
  36,    7,   49.558872,  -96.320213,        1.710
  37,    7,   49.559780,  -96.167735,        1.770
  38,    7,   49.560576,  -96.015255,        1.890
  39,    7,   49.561261,  -95.862772,        2.020
  40,    7,   49.561835,  -95.710286,        2.140
  41,    7,   49.562297,  -95.557799,        2.240
  42,    7,   49.562649,  -95.405311,        2.280
  43,    7,   49.562889,  -95.252821,        2.150
  44,    7,   49.563018,  -95.100331,        2.020
   1,    8,   49.555872, -101.659558,       -0.290
   2,    8,   49.560673, -101.507255,       -0.340
   3,    8,   49.565363, -101.354936,       -0.340
   4,    8,   49.569942, -101.202601,       -0.320
   5,    8,   49.574410, -101.050251,       -0.290
   6,    8,   49.578766, -100.897885,       -0.240
   7,    8,   49.583011, -100.745504,       -0.150
   8,    8,   49.587145, -100.593108,       -0.020
   9,    8,   49.591168, -100.440699,        0.140
  10,    8,   49.595080, -100.288275,        0.320
  11,    8,   49.598880, -100.135839,        0.490
  12,    8,   49.602569,  -99.983389,        0.620
  13,    8,   49.606147,  -99.830927,        0.720
  14,    8,   49.609613,  -99.678452,        0.790
  15,    8,   49.612969,  -99.525966,        0.890
  16,    8,   49.616213,  -99.373468,        1.020
  17,    8,   49.619346,  -99.220959,        1.150
  18,    8,   49.622368,  -99.068440,        1.280
  19,    8,   49.625278,  -98.915910,        1.380
  20,    8,   49.628077,  -98.763370,        1.430
  21,    8,   49.630765,  -98.610821,        1.440
  22,    8,   49.633342,  -98.458262,        1.460
  23,    8,   49.635807,  -98.305695,        1.530
  24,    8,   49.638162,  -98.153119,        1.660
  25,    8,   49.640405,  -98.000536,        1.800
  26,    8,   49.642536,  -97.847945,        1.930
  27,    8,   49.644557,  -97.695346,        2.030
  28,    8,   49.646466,  -97.542741,        2.060
  29,    8,   49.648264,  -97.390129,        1.970
  30,    8,   49.649950,  -97.237512,        1.810
  31,    8,   49.651526,  -97.084888,        1.610
  32,    8,   49.652990,  -96.932260,        1.400
  33,    8,   49.654343,  -96.779626,        1.290
  34,    8,   49.655584,  -96.626988,        1.360
  35,    8,   49.656714,  -96.474346,        1.500
  36,    8,   49.657733,  -96.321700,        1.650
  37,    8,   49.658641,  -96.169050,        1.760
  38,    8,   49.659438,  -96.016398,        1.900
  39,    8,   49.660123,  -95.863743,        2.050
  40,    8,   49.660697,  -95.711086,        2.190
  41,    8,   49.661160,  -95.558427,        2.290
  42,    8,   49.661511,  -95.405767,        2.330
  43,    8,   49.661751,  -95.253106,        2.280
  44,    8,   49.661880,  -95.100444,        2.200
   1,    9,   49.654622, -101.667053,       -0.180
   2,    9,   49.659424, -101.514580,       -0.240
   3,    9,   49.664115, -101.362090,       -0.240
   4,    9,   49.668695, -101.209584,       -0.230
   5,    9,   49.673163, -101.057062,       -0.210
   6,    9,   49.677521, -100.904525,       -0.170
   7,    9,   49.681767, -100.751973,       -0.080
   8,    9,   49.685902, -100.599406,        0.060
   9,    9,   49.689925, -100.446826,        0.250
  10,    9,   49.693838, -100.294231,        0.450
